id,date_in,date_out,name,type,breed,color,age_out,outcome_type,intake_type,intake_condition,sex_upon_intake,age_in,outcome_subtype,sex_upon_outcome
A805715,2019-10-01,2019-10-01,Lobo,Dog,Siberian Husky,Black,Young,Returned to Owner,Stray,Normal,Intact Male,1 year,NA,Intact Male
A694281,2014-12-24,2014-12-24,Leyna,Dog,German Shepherd Mix,Brown,Young,Returned to Owner,Stray,Normal,Spayed Female,2 years,NA,Spayed Female
A772750,2018-05-23,2018-07-30,Perseus,Cat,Domestic Shorthair Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,1 month,NA,Neutered Male
A671670,2014-01-29,2014-01-29,N/A,Cat,Domestic Medium Hair Mix,Cream,Young,Transferred,Stray,Normal,Neutered Male,2 years,SCRP,Neutered Male
A749074,2017-05-10,2017-06-16,Cali,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,1 month,Foster,Spayed Female
A751013,2017-06-03,2017-08-22,Mochi,Other,Rabbit,Black,Baby,Adopted,Stray,Normal,Intact Female,3 months,NA,Spayed Female
A772614,2018-05-21,2018-05-25,N/A,Cat,Domestic Longhair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Male,1 month,NA,Neutered Male
A666169,2013-10-28,2013-12-20,Gwynnie,Cat,Domestic Shorthair Mix,Orange,Baby,Transferred,Stray,Normal,Intact Female,5 months,Partner,Spayed Female
A761391,2017-11-03,2017-12-16,Blossom,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,4 weeks,Foster,Spayed Female
A685017,2014-08-01,2014-08-09,Bess,Cat,Domestic Shorthair Mix,Mixed,Baby,Adopted,Stray,Normal,Intact Female,3 months,NA,Spayed Female
A702917,2015-05-19,2015-05-23,N/A,Dog,Chihuahua Shorthair Mix,Mixed,Young,Transferred,Stray,Normal,Intact Female,1 year,Partner,Spayed Female
A767318,2018-02-26,2018-03-02,Herman,Dog,Labrador Retriever Mix,Black,Baby,Adopted,Stray,Normal,Intact Male,6 months,NA,Neutered Male
A795710,2019-05-27,2019-06-01,Manchas,Dog,Catahoula,Black,Young,Returned to Owner,Public Assist,Normal,Intact Male,2 years,NA,Neutered Male
A748174,2017-04-30,2017-05-01,Bozo,Dog,Labrador Retriever Mix,Brown,Adult,Returned to Owner,Stray,Normal,Neutered Male,7 years,NA,Neutered Male
